ECCO_L4_FRESH_FLUX_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_SURFACE_FRESHWATER_FLUXES_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_FRESH_FLUX_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_SURFACE_FRESHWATER_FLUXES_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_HEAT_FLUX_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/SURFACE_HEAT_FLUXES_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_HEAT_FLUX_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/SURFACE_HEAT_FLUXES_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_SURFACE_STRESS_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_SURFACE_STRESS_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_ATM_PROPERTIES_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_ATM_PROPERTIES_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_BOLUS_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/GM_OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_BOLUS_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/GM_OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_DENSE_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_PRES_DENS_STRAT_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_DENSE_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_PRES_DENS_STRAT_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_MIXED_LAYER_DEPTH_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/MIXED_LAYER_DEPTH_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_MIXED_LAYER_DEPTH_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/MIXED_LAYER_DEPTH_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_OCEAN_TEMP_SALINITY_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_TEMPERATURE_AND_SALT_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_OCEAN_TEMP_SALINITY_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_TEMPERATURE_AND_SALT_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_OCEAN_VEL_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_VELOCITY_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_OCEAN_VEL_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/OCEAN_VELOCITY_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_SEA_ICE_CONCENTRATION_05DEG_DAILY_V4R4,latlon_dataset_demo_files_20200730/SEA_ICE_AND_SNOW_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_SEA_ICE_CONCENTRATION_05DEG_MONTHLY_V4R4,latlon_dataset_demo_files_20200730/SEA_ICE_AND_SNOW_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc